"expr","time","trial","memory_used"
"lmFast",1375,1,117669456
"lm",1386069,1,117669456
"lmInternal",59842,1,117669456
"lm",1113977,2,117676432
"lmFast",591,2,117676432
"lmInternal",62361,2,117676432
"lmInternal",107403,3,117676432
"lm",1278479,3,117676432
"lmFast",1004,3,117676432
"lmInternal",150543,4,117676432
"lmFast",8634,4,117676432
"lm",2497845,4,117676432
"lm",1179475,5,117676432
"lmFast",873,5,117676432
"lmInternal",52417,5,117676432
"lm",1051849,6,117676432
"lmInternal",56311,6,117676432
"lmFast",829,6,117676432
"lmFast",2179,7,117676432
"lmInternal",111580,7,117676432
"lm",940894,7,117676432
"lm",4844808,8,117676432
"lmFast",872,8,117676432
"lmInternal",50173,8,117676432
"lm",1146034,9,117676432
"lmFast",614,9,117676432
"lmInternal",50797,9,117676432
"lmFast",7528,10,117676432
"lmInternal",80624,10,117676432
"lm",1053446,10,117676432
"lm",1179604,11,117676432
"lmFast",664,11,117676432
"lmInternal",48787,11,117676432
"lmFast",1321,12,117676432
"lm",1313982,12,117676432
"lmInternal",60547,12,117676432
"lmFast",889,13,117676432
"lm",1104096,13,117676432
"lmInternal",51636,13,117676432
"lm",1157808,14,117676432
"lmInternal",74336,14,117676432
"lmFast",625,14,117676432
"lmFast",1192,15,117676432
"lmInternal",83631,15,117676432
"lm",1107991,15,117676432
"lmFast",2683,16,117676432
"lm",1142425,16,117676432
"lmInternal",54407,16,117676432
"lmInternal",76431,17,117676432
"lm",1097665,17,117676432
"lmFast",827,17,117676432
"lm",1370795,18,117676432
"lmFast",7844,18,117676432
"lmInternal",78026,18,117676432
"lmFast",1114,19,117676432
"lm",1045123,19,117676432
"lmInternal",51325,19,117676432
"lmInternal",81835,20,117676432
"lm",1180924,20,117676432
"lmFast",1109,20,117676432
"lm",1203440,21,117676432
"lmFast",829,21,117676432
"lmInternal",51345,21,117676432
"lm",1324661,22,117676432
"lmInternal",56180,22,117676432
"lmFast",1057,22,117676432
"lmFast",922,23,117676432
"lmInternal",85882,23,117676432
"lm",1164150,23,117676432
"lmInternal",78273,24,117676432
"lmFast",1029,24,117676432
"lm",1098977,24,117676432
"lmInternal",78434,25,117676432
"lm",1101505,25,117676432
"lmFast",738,25,117676432
"lmFast",2120,26,117676432
"lm",1089027,26,117676432
"lmInternal",52612,26,117676432
"lmInternal",128279,27,117676432
"lmFast",1313,27,117676432
"lm",1510565,27,117676432
"lm",1360474,28,117676432
"lmFast",727,28,117676432
"lmInternal",58436,28,117676432
"lmFast",3039,29,117676432
"lm",1207269,29,117676432
"lmInternal",54894,29,117676432
"lmInternal",92677,30,117676432
"lmFast",724,30,117676432
"lm",1178532,30,117676432
"lmFast",1030,31,117676432
"lm",1268702,31,117676432
"lmInternal",56640,31,117676432
"lm",1220164,32,117676432
"lmInternal",57592,32,117676432
"lmFast",689,32,117676432
"lm",1794463,33,117676432
"lmFast",1196,33,117676432
"lmInternal",80964,33,117676432
"lmInternal",100185,34,117676432
"lm",1184660,34,117676432
"lmFast",854,34,117676432
"lmInternal",98586,35,117676432
"lmFast",939,35,117676432
"lm",1252123,35,117676432
"lmFast",1185,36,117676432
"lmInternal",87244,36,117676432
"lm",1191546,36,117676432
"lmFast",1427,37,117676432
"lmInternal",109750,37,117676432
"lm",1136953,37,117676432
"lm",1282331,38,117676432
"lmInternal",55151,38,117676432
"lmFast",923,38,117676432
"lmInternal",88510,39,117676432
"lmFast",923,39,117676432
"lm",1040569,39,117676432
"lmFast",1278,40,117676432
"lmInternal",80921,40,117676432
"lm",1032721,40,117676432
"lmInternal",96952,41,117676432
"lmFast",1101,41,117676432
"lm",1230654,41,117676432
