expr,time,trial,mat_size,memory_used
RparallelColumn,51041335,1,1,51495472
RcppOpenMP,352135,1,1,51495472
RparallelRow,40038718,1,1,51495472
RcppParallel,1959552,1,1,51495472
RparallelRow,40757181,2,1,51521584
RcppOpenMP,248538,2,1,51521584
RparallelColumn,51274074,2,1,51521584
RcppParallel,229487,2,1,51521584
RcppParallel,261046,3,1,51521896
RcppOpenMP,132479,3,1,51521896
RparallelColumn,46902742,3,1,51521896
RparallelRow,33694206,3,1,51521896
RparallelColumn,44206658,4,1,51522120
RcppOpenMP,136484,4,1,51522120
RparallelRow,39784194,4,1,51522120
RcppParallel,267576,4,1,51522120
RcppParallel,226385,5,1,51522120
RparallelColumn,44296109,5,1,51522120
RparallelRow,36887761,5,1,51522120
RcppOpenMP,182628,5,1,51522120
RparallelColumn,44040749,6,1,51522392
RparallelRow,40477719,6,1,51522392
RcppOpenMP,181722,6,1,51522392
RcppParallel,210605,6,1,51522392
RcppOpenMP,176531,7,1,51522456
RparallelRow,35268846,7,1,51522456
RparallelColumn,56990843,7,1,51522456
RcppParallel,251971,7,1,51522456
RparallelRow,38966194,8,1,51522520
RcppOpenMP,245688,8,1,51522520
RcppParallel,217692,8,1,51522520
RparallelColumn,61672184,8,1,51522520
RcppOpenMP,191572,9,1,51522608
RparallelRow,37649594,9,1,51522608
RparallelColumn,54338305,9,1,51522608
RcppParallel,228250,9,1,51522608
RparallelColumn,43951934,10,1,51522720
RcppOpenMP,189778,10,1,51522720
RcppParallel,207081,10,1,51522720
RparallelRow,42793828,10,1,51522720
RcppParallel,212278,11,1,51522848
RcppOpenMP,167199,11,1,51522848
RparallelRow,35651154,11,1,51522848
RparallelColumn,63506039,11,1,51522848
RparallelRow,34482567,12,1,51522960
RcppParallel,259674,12,1,51522960
RcppOpenMP,2939647,12,1,51522960
RparallelColumn,52009264,12,1,51522960
RparallelRow,36883572,13,1,51523072
RcppOpenMP,2308451,13,1,51523072
RparallelColumn,55705042,13,1,51523072
RcppParallel,219258,13,1,51523072
RparallelRow,35436142,14,1,51523184
RparallelColumn,51285282,14,1,51523184
RcppParallel,349011,14,1,51523184
RcppOpenMP,2519339,14,1,51523184
RcppOpenMP,180536,15,1,51523336
RparallelColumn,54270262,15,1,51523336
RcppParallel,226574,15,1,51523336
RparallelRow,34805564,15,1,51523336
RcppParallel,218234,16,1,51523488
RparallelRow,36703690,16,1,51523488
RparallelColumn,64111699,16,1,51523488
RcppOpenMP,155543,16,1,51523488
RcppOpenMP,166428,17,1,51523600
RcppParallel,182027,17,1,51523600
RparallelRow,38103154,17,1,51523600
RparallelColumn,48891421,17,1,51523600
RparallelColumn,49502128,18,1,51523712
RparallelRow,37418959,18,1,51523712
RcppOpenMP,212388,18,1,51523712
RcppParallel,226521,18,1,51523712
RcppParallel,222755,19,1,51523824
RcppOpenMP,132668,19,1,51523824
RparallelRow,36890530,19,1,51523824
RparallelColumn,54324926,19,1,51523824
RparallelRow,36509594,20,1,51523936
RcppParallel,366377,20,1,51523936
RparallelColumn,63858701,20,1,51523936
RcppOpenMP,223627,20,1,51523936
RcppOpenMP,174280,21,1,51524064
RcppParallel,177776,21,1,51524064
RparallelRow,42891856,21,1,51524064
RparallelColumn,58793586,21,1,51524064
RcppParallel,249307,22,1,51524176
RparallelColumn,48144348,22,1,51524176
RparallelRow,33872166,22,1,51524176
RcppOpenMP,229928,22,1,51524176
RparallelColumn,45675605,23,1,51524288
RcppParallel,233856,23,1,51524288
RcppOpenMP,3296975,23,1,51524288
RparallelRow,35691676,23,1,51524288
RparallelRow,38173931,24,1,51524400
RcppParallel,255066,24,1,51524400
RparallelColumn,57531461,24,1,51524400
RcppOpenMP,191163,24,1,51524400
RparallelColumn,44963130,25,1,51524512
RcppOpenMP,149135,25,1,51524512
RparallelRow,35303240,25,1,51524512
RcppParallel,261364,25,1,51524512
RcppParallel,220817,26,1,51524664
RparallelColumn,47054538,26,1,51524664
RcppOpenMP,194120,26,1,51524664
RparallelRow,33240457,26,1,51524664
RcppOpenMP,164421,27,1,51524776
RparallelRow,33873812,27,1,51524776
RparallelColumn,53428734,27,1,51524776
RcppParallel,223198,27,1,51524776
RcppParallel,235133,28,1,51524888
RparallelColumn,53057450,28,1,51524888
RparallelRow,40315031,28,1,51524888
RcppOpenMP,245013,28,1,51524888
RparallelRow,35062705,29,1,51525000
RcppOpenMP,197837,29,1,51525000
RcppParallel,217523,29,1,51525000
RparallelColumn,51749701,29,1,51525000
RcppOpenMP,202891,30,1,51525112
RparallelColumn,43299141,30,1,51525112
RparallelRow,35732876,30,1,51525112
RcppParallel,280643,30,1,51525112
RcppOpenMP,170653,31,1,51525240
RparallelRow,31399182,31,1,51525240
RcppParallel,228577,31,1,51525240
RparallelColumn,48118420,31,1,51525240
RcppOpenMP,213511,32,1,51525352
RparallelColumn,43892807,32,1,51525352
RparallelRow,38915776,32,1,51525352
RcppParallel,336248,32,1,51525352
RparallelColumn,43958644,33,1,51525464
RparallelRow,39688935,33,1,51525464
RcppParallel,223499,33,1,51525464
RcppOpenMP,206740,33,1,51525464
RparallelRow,30194416,34,1,51525624
RcppOpenMP,189250,34,1,51525624
RparallelColumn,48749080,34,1,51525624
RcppParallel,222682,34,1,51525624
RcppOpenMP,174906,35,1,51525736
RparallelColumn,43816386,35,1,51525736
RparallelRow,34903384,35,1,51525736
RcppParallel,243244,35,1,51525736
RcppOpenMP,160631,36,1,51525888
RcppParallel,203811,36,1,51525888
RparallelRow,30878145,36,1,51525888
RparallelColumn,47619035,36,1,51525888
RparallelRow,34548809,37,1,51526000
RparallelColumn,50047852,37,1,51526000
RcppParallel,229936,37,1,51526000
RcppOpenMP,144780,37,1,51526000
RparallelRow,40829177,38,1,51526112
RparallelColumn,55911998,38,1,51526112
RcppParallel,244293,38,1,51526112
RcppOpenMP,174881,38,1,51526112
RcppOpenMP,173959,39,1,51526224
RparallelColumn,43507169,39,1,51526224
RparallelRow,40032928,39,1,51526224
RcppParallel,253873,39,1,51526224
RcppOpenMP,185028,40,1,51526336
RcppParallel,169774,40,1,51526336
RparallelColumn,44309262,40,1,51526336
RparallelRow,40830042,40,1,51526336
RparallelColumn,42327185,41,1,51526464
RparallelRow,38155047,41,1,51526464
RcppOpenMP,213921,41,1,51526464
RcppParallel,189927,41,1,51526464
RcppOpenMP,183319,42,1,51526576
RparallelRow,35528294,42,1,51526576
RcppParallel,296796,42,1,51526576
RparallelColumn,50941102,42,1,51526576
RparallelColumn,45216861,43,1,51526688
RparallelRow,42869436,43,1,51526688
RcppParallel,306217,43,1,51526688
RcppOpenMP,187788,43,1,51526688
RparallelRow,37134031,44,1,51526800
RcppParallel,299374,44,1,51526800
RcppOpenMP,177229,44,1,51526800
RparallelColumn,52838572,44,1,51526800
RcppOpenMP,202034,45,1,51526912
RcppParallel,187503,45,1,51526912
RparallelRow,30532382,45,1,51526912
RparallelColumn,48568287,45,1,51526912
RcppParallel,251761,46,1,51527064
RparallelRow,36468657,46,1,51527064
RcppOpenMP,194226,46,1,51527064
RparallelColumn,50015514,46,1,51527064
RcppParallel,277612,47,1,51527176
RcppOpenMP,191293,47,1,51527176
RparallelColumn,42841015,47,1,51527176
RparallelRow,37814360,47,1,51527176
RcppOpenMP,221872,48,1,51527288
RcppParallel,175106,48,1,51527288
RparallelRow,32484097,48,1,51527288
RparallelColumn,48545961,48,1,51527288
RcppParallel,249992,49,1,51527400
RcppOpenMP,181415,49,1,51527400
RparallelColumn,44799992,49,1,51527400
RparallelRow,37825802,49,1,51527400
RcppParallel,218857,50,1,51527512
RcppOpenMP,167832,50,1,51527512
RparallelColumn,43144920,50,1,51527512
RparallelRow,35703631,50,1,51527512
RparallelColumn,44321971,51,1,51527640
RcppOpenMP,202564,51,1,51527640
RparallelRow,40095399,51,1,51527640
RcppParallel,265258,51,1,51527640
RparallelRow,34782780,52,1,51527752
RcppOpenMP,192219,52,1,51527752
RcppParallel,223609,52,1,51527752
RparallelColumn,56750296,52,1,51527752
RparallelRow,37496282,53,1,51527864
RparallelColumn,48878021,53,1,51527864
RcppOpenMP,216790,53,1,51527864
RcppParallel,189679,53,1,51527864
RcppParallel,262123,54,1,51527976
RcppOpenMP,145948,54,1,51527976
RparallelColumn,44123762,54,1,51527976
RparallelRow,35681364,54,1,51527976
RparallelRow,36919345,55,1,51528088
RcppOpenMP,199440,55,1,51528088
RparallelColumn,51514730,55,1,51528088
RcppParallel,249917,55,1,51528088
