"expr","time","trial","mat_size","memory_used"
"Rbase",15743,1,1,133408504
"ArmadilloBase",154560,1,1,133408504
"ArmadilloIterator",64186,1,1,133408504
"ArmadilloBase",158004,1,2,133408504
"Rbase",77968,1,2,133408504
"ArmadilloIterator",5712745,1,2,133408504
"ArmadilloBase",47881882,1,3,133408504
"Rbase",39019873,1,3,133408504
"ArmadilloIterator",4064776272,1,3,133408504
"ArmadilloIterator",124881,2,1,133408840
"Rbase",8189,2,1,133408840
"ArmadilloBase",41775,2,1,133408840
"Rbase",110228,2,2,133408840
"ArmadilloIterator",6665755,2,2,133408840
"ArmadilloBase",152160,2,2,133408840
"ArmadilloBase",47692398,2,3,133408840
"ArmadilloIterator",4054869727,2,3,133408840
"Rbase",42903720,2,3,133408840
"Rbase",19663,3,1,133408840
"ArmadilloIterator",108189,3,1,133408840
"ArmadilloBase",32457,3,1,133408840
"Rbase",130920,3,2,133408840
"ArmadilloIterator",6893563,3,2,133408840
"ArmadilloBase",150199,3,2,133408840
"ArmadilloBase",44152968,3,3,133408840
"ArmadilloIterator",3931364371,3,3,133408840
"Rbase",39235998,3,3,133408840
"ArmadilloBase",71588,4,1,133408840
"Rbase",4626,4,1,133408840
"ArmadilloIterator",60968,4,1,133408840
"ArmadilloIterator",6574363,4,2,133408840
"Rbase",80309,4,2,133408840
"ArmadilloBase",109427,4,2,133408840
"ArmadilloBase",46305316,4,3,133408840
"ArmadilloIterator",3986558398,4,3,133408840
"Rbase",56453617,4,3,133408840
"ArmadilloIterator",116559,5,1,133408840
"ArmadilloBase",37672,5,1,133408840
"Rbase",4410,5,1,133408840
"Rbase",115094,5,2,133408840
"ArmadilloIterator",6942610,5,2,133408840
"ArmadilloBase",160544,5,2,133408840
"Rbase",48105398,5,3,133408840
"ArmadilloBase",39973139,5,3,133408840
"ArmadilloIterator",3904983418,5,3,133408840
"Rbase",14046,6,1,133408840
"ArmadilloBase",59143,6,1,133408840
"ArmadilloIterator",62762,6,1,133408840
"ArmadilloIterator",6869590,6,2,133408840
"Rbase",119049,6,2,133408840
"ArmadilloBase",145406,6,2,133408840
"ArmadilloIterator",3872724292,6,3,133408840
"ArmadilloBase",52077580,6,3,133408840
"Rbase",45908004,6,3,133408840
"ArmadilloBase",79329,7,1,133408840
"ArmadilloIterator",95115,7,1,133408840
"Rbase",9854,7,1,133408840
"ArmadilloBase",211323,7,2,133408840
"ArmadilloIterator",6781926,7,2,133408840
"Rbase",93088,7,2,133408840
"ArmadilloBase",44434202,7,3,133408840
"Rbase",48477597,7,3,133408840
"ArmadilloIterator",3887093262,7,3,133408840
"ArmadilloIterator",126120,8,1,133408840
"ArmadilloBase",33086,8,1,133408840
