expr,time,trial,mat_size,memory_used
Rbase,20392,1,1,78779088
ArmadilloIterator,332851,1,1,78779088
ArmadilloBase,219272,1,1,78779088
ArmadilloBase,113622,2,1,78779480
Rbase,11096,2,1,78779480
ArmadilloIterator,132074,2,1,78779480
ArmadilloIterator,191591,3,1,78779592
ArmadilloBase,64861,3,1,78779592
Rbase,6126,3,1,78779592
Rbase,22118,4,1,78779816
ArmadilloBase,92954,4,1,78779816
ArmadilloIterator,88357,4,1,78779816
Rbase,23737,5,1,78779816
ArmadilloIterator,183387,5,1,78779816
ArmadilloBase,44870,5,1,78779816
ArmadilloBase,122640,6,1,78779864
Rbase,5993,6,1,78779864
ArmadilloIterator,99926,6,1,78779864
Rbase,25435,7,1,78780088
ArmadilloIterator,229288,7,1,78780088
ArmadilloBase,73905,7,1,78780088
ArmadilloIterator,213154,8,1,78780552
Rbase,17434,8,1,78780552
ArmadilloBase,94004,8,1,78780552
Rbase,19533,9,1,78780600
ArmadilloIterator,136473,9,1,78780600
ArmadilloBase,31847,9,1,78780600
ArmadilloIterator,317845,10,1,78780648
ArmadilloBase,101531,10,1,78780648
Rbase,11158,10,1,78780648
Rbase,18775,11,1,78780696
ArmadilloIterator,154479,11,1,78780696
ArmadilloBase,35298,11,1,78780696
ArmadilloIterator,365303,12,1,78780768
ArmadilloBase,134501,12,1,78780768
Rbase,12272,12,1,78780768
ArmadilloIterator,148165,13,1,78780864
ArmadilloBase,38011,13,1,78780864
Rbase,5278,13,1,78780864
ArmadilloBase,116249,14,1,78780936
Rbase,5526,14,1,78780936
ArmadilloIterator,87615,14,1,78780936
ArmadilloIterator,163082,15,1,78781048
ArmadilloBase,38681,15,1,78781048
Rbase,5034,15,1,78781048
ArmadilloIterator,156523,16,1,78781144
Rbase,9990,16,1,78781144
ArmadilloBase,37878,16,1,78781144
Rbase,19092,17,1,78781216
ArmadilloIterator,141518,17,1,78781216
ArmadilloBase,33663,17,1,78781216
ArmadilloIterator,174594,18,1,78781312
ArmadilloBase,50653,18,1,78781312
Rbase,5115,18,1,78781312
Rbase,30057,19,1,78781384
ArmadilloBase,156926,19,1,78781384
ArmadilloIterator,86829,19,1,78781384
Rbase,29424,20,1,78781480
ArmadilloIterator,148376,20,1,78781480
ArmadilloBase,34750,20,1,78781480
ArmadilloIterator,156632,21,1,78781592
Rbase,10687,21,1,78781592
ArmadilloBase,39061,21,1,78781592
ArmadilloIterator,292345,22,1,78781664
Rbase,22361,22,1,78781664
ArmadilloBase,75004,22,1,78781664
Rbase,29950,23,1,78781760
ArmadilloIterator,142040,23,1,78781760
ArmadilloBase,32285,23,1,78781760
ArmadilloBase,119255,24,1,78781832
ArmadilloIterator,90817,24,1,78781832
Rbase,5869,24,1,78781832
ArmadilloIterator,215604,25,1,78781928
Rbase,10790,25,1,78781928
ArmadilloBase,59960,25,1,78781928
ArmadilloBase,116838,26,1,78782000
ArmadilloIterator,91213,26,1,78782000
Rbase,5975,26,1,78782000
ArmadilloIterator,222960,27,1,78782096
Rbase,16493,27,1,78782096
ArmadilloBase,86909,27,1,78782096
ArmadilloBase,168509,28,1,78782208
ArmadilloIterator,100489,28,1,78782208
Rbase,6982,28,1,78782208
Rbase,22729,29,1,78782280
ArmadilloIterator,158728,29,1,78782280
ArmadilloBase,38204,29,1,78782280
Rbase,22534,30,1,78782376
ArmadilloIterator,152914,30,1,78782376
ArmadilloBase,36170,30,1,78782376
ArmadilloBase,249758,31,1,78782448
ArmadilloIterator,127432,31,1,78782448
Rbase,9066,31,1,78782448
ArmadilloBase,107747,32,1,78782544
Rbase,5884,32,1,78782544
ArmadilloIterator,99976,32,1,78782544
Rbase,13483,33,1,78782616
ArmadilloBase,75700,33,1,78782616
ArmadilloIterator,75143,33,1,78782616
Rbase,20543,34,1,78782712
ArmadilloIterator,146113,34,1,78782712
ArmadilloBase,34387,34,1,78782712
Rbase,21735,35,1,78782824
ArmadilloBase,95958,35,1,78782824
ArmadilloIterator,86640,35,1,78782824
Rbase,21397,36,1,78782896
ArmadilloBase,91343,36,1,78782896
ArmadilloIterator,85113,36,1,78782896
ArmadilloIterator,163777,37,1,78782992
ArmadilloBase,42167,37,1,78782992
Rbase,5304,37,1,78782992
ArmadilloIterator,170731,38,1,78783064
Rbase,12335,38,1,78783064
ArmadilloBase,62563,38,1,78783064
Rbase,17801,39,1,78783160
ArmadilloIterator,140007,39,1,78783160
ArmadilloBase,43151,39,1,78783160
ArmadilloBase,406286,40,1,78783232
Rbase,21672,40,1,78783232
ArmadilloIterator,241504,40,1,78783232
ArmadilloBase,94667,41,1,78783344
Rbase,5266,41,1,78783344
ArmadilloIterator,79042,41,1,78783344
Rbase,23353,42,1,78783440
ArmadilloBase,131778,42,1,78783440
ArmadilloIterator,88888,42,1,78783440
ArmadilloBase,100885,43,1,78783512
ArmadilloIterator,83084,43,1,78783512
Rbase,5353,43,1,78783512
ArmadilloIterator,229666,44,1,78783608
Rbase,15423,44,1,78783608
ArmadilloBase,56239,44,1,78783608
ArmadilloBase,236060,45,1,78783680
Rbase,6767,45,1,78783680
ArmadilloIterator,90822,45,1,78783680
